Restaurant Name,Item Name,Price
Pooja Indian Grill,Madras Prawn Masala,$16.99 
Pooja Indian Grill,Fish Masala,$16.99 
Pooja Indian Grill,Prawn Korma,$16.99 
Pooja Indian Grill,Saag Paneer,$13.99 
Pooja Indian Grill,Chana Masala (Chole),$13.99 
Pooja Indian Grill,Mixed Vegetables,$13.99 
Pooja Indian Grill,Matter Paneer,$13.99 
Pooja Indian Grill,Aloo Ghobi,$13.99 
Pooja Indian Grill,Benghan Bharta,$13.99 
Pooja Indian Grill,Navratan Shahi Korma,$13.99 
Pooja Indian Grill,Daal Makhani,$13.99 
Pooja Indian Grill,Yellow Daal,$13.99 
Pooja Indian Grill,Paneer Masala,$13.99 
Pooja Indian Grill,Malai Kofta,$13.99 
Pooja Indian Grill,Bhindi,$13.99 
Pooja Indian Grill,Shahi Paneer,$13.99 
Pooja Indian Grill,Paneer Tikka Masala,$13.99 
Pooja Indian Grill,Paneer Tikka,$13.99 
Lazi Cow,Black Milk Tea,$6.75 
Lazi Cow,Jasmin Green Milk Tea,$6.75 
Lazi Cow,Thai Milk Tea,$6.75 
Lazi Cow,Taro Milk Tea,$6.75 
Lazi Cow,Brown Sugar Milk Tea,$6.75 
Lazi Cow,Matcha Milk Tea,$6.75 
Lazi Cow,Mica Akira Milk Tea,$6.95 
Lazi Cow,Lazi Cow Style BMT Milk Tea,$6.95 
Lazi Cow,HK Thai Milk Tea,$6.95 
Lazi Cow,Matcha Love,$7.25 
Lazi Cow,Moodoo Matcha,$7.25 
Lazi Cow,Lazi Cow Style GMT Matcha,$7.25 
Hunan Style,Sauteed Smoked Pork with Dried Radishes 萝卜干炒腊肉,$20.95 
Hunan Style,Meat & Vegetable Mixed Hot Spicy Dry Pot 一品麻辣香锅,$36.95 
Hunan Style,Boiled Meat & Vegetable Hot Pot 江湖锅麻辣烫,$24.95 
Hunan Style,Laotan Boiled Fish with Pickled Cabbage and Chilli 老坛酸菜鱼,$24.95 
Hunan Style,Boiled Fish with Chilli 特色沸腾鱼,$24.95 
Hunan Style,Omelette with Spare Ribs 排骨焖煎蛋,$18.95 
Hunan Style,Braised Pig Feet with Reserved Recipe in Clay Pot 湘西香辣美容蹄,$18.95 
Hunan Style,Boiled Fish with Rattan Pepper 湘西藤椒鱼,$24.95 
Hunan Style,Coutry Style Stewed Chicken with Mexican Pepper,$20.39 
Hunan Style,Sauteed Pork Enoki Mushroom Fungus & Egg,$18.95 
Hunan Style,Griddle Cooked Stir-Fried Spicy Shrimp & Pork Ribs 干锅排骨虾,$22.95 
Hunan Style,Griddle Cooked Organic Chicken with Peppers 干锅土鸡,$18.95 
Hunan Style,Griddle Cooked Smoked Pork with Organic Cauliflower 干锅腊肉有机花菜,$18.95 
Hunan Style,Griddle Cooked Fragrant Cabbages & Pork 干锅手撕包菜,$18.12 
Hunan Style,Griddle Cooked Pig Intestine with Peppers 干锅肥肠,$22.95 
Hunan Style,Griddle Cooked Braised Pig Feet 干锅五香猪手,$18.95 
Rick's Dessert Diner,Our Award Winning Tiramisu,$10.50 
Rick's Dessert Diner,Buddy Holly,$18.95 
Rick's Dessert Diner,Creme Brullee - Bien Sur! (And Gluten Free!),$12.00 
Rick's Dessert Diner,Rick's Truffle Torte Slice,$11.95 
Rick's Dessert Diner,Midnight Torte Slice,$11.95 
Rick's Dessert Diner,Individual 5inch Apple Pie,$11.95 
Rick's Dessert Diner,Individual 5inch Cherry Pie,$11.95 
Rick's Dessert Diner,Individual 5inch Pecan Pie,$11.95 
Rick's Dessert Diner,Individual 5inch Peach Pie,$11.95 
Rick's Dessert Diner,Individual Oreo Cheesecake,$11.95 
Rick's Dessert Diner,Individual York Style Cheesecake,$11.95 
Rick's Dessert Diner,Key Lime Pie Slice!,$10.00 
Rick's Dessert Diner,Assortment (Subject to Availability) of 5 Delightful Holiday Cookies - the Prettiest Hand Made Cookies Ever!,$38.00 
Rick's Dessert Diner,THE. BEST. Snickerdoodle Cookie!,$4.50 
Rick's Dessert Diner,Chocolate Chip Cookie,$4.50 
Rick's Dessert Diner,Salted Chocolate Chip Cookie,$4.50 
Rick's Dessert Diner,Peanut Butter Cookie,$4.50 
Rick's Dessert Diner,Oatmeal Raisin Cookie,$4.50 
Rick's Dessert Diner,Caramel Napoleon,$11.00 
Rick's Dessert Diner,Chocolate Eclair - Le Yum!,$10.00 
Rick's Dessert Diner,"Mille-Feuille Napoleon (Literally Translated: 1000 Sheets of Puff Pastry) - Classic, Timeless and So Delicious!",$11.00 
Rick's Dessert Diner,Fonz,$18.95 
Rick's Dessert Diner,Buddy Holly,$18.95 
Rick's Dessert Diner,Liz Taylor,$18.95 
Rick's Dessert Diner,Elvis,$18.95 
Rick's Dessert Diner,Monroe,$18.95 
Rick's Dessert Diner,Rick's Classic,$18.95 
Rick's Dessert Diner,Bogart,$18.95 
Rick's Dessert Diner,Hepburn,$18.95 
Rick's Dessert Diner,James Dean,$18.95 
Rick's Dessert Diner,Brando,$18.95 
