name,address,phone_number,cuisines
Roberta's Cocina Mexican,"5635 Freeport Blvd, Sacramento, CA, 95822",1 9164222878,"Mexican, Breakfast, Burritos, Chicken, Dessert, Kids Menu, Meal Kit, Salads, Sandwiches, Seafood, Soup, Steak, Tacos"
Los Inmortales Taqueria,"501 Broadway, Sacramento, CA, 95818",1 9165538127,"Breakfast, Burritos, Tacos"
SacVille Hot Chicken,"1630 J St, Sacramento, CA, 95814",1 9162048659,"Chicken, Salads, Wings"
WeDaShii,"1010 18th St, Sacramento, CA, 95811",1 9164004943,"Japanese, Asian, Sushi"
Halal Muncheez,"907 K St, Sacramento, CA, 95814",1 9164764384,"Gyro, Hot Dogs, Kids Menu, Wings"
Slo Roast,"3531 N Freeway Blvd, Sacramento, CA, 95834",1 9165701327,"Steak, American, Dessert, Salads, Snacks"
KFC,"1617 Research Park Dr, Davis, CA, 95618",1 5307562400,"Fast Food, American, Bowls, Chicken, Sandwiches, Southern, Wings"
Habit Burger & Grill,"1368 E Main St, Woodland, CA, 95776",1 8884249979,"American, Chicken, Hamburgers, Kids Menu"
Cenarios Pizza Davis,"1300 E Covell Blvd, Davis, CA, 95616",1 5307591100,"Pizza, American, Fast Food"
Ming Dynasty,"1211 Broadway, Sacramento, CA, 95818",1 9164912233,"Chinese, BBQ, Dim Sum, Healthy, Noodles, Seafood, Soup, Vegetarian"
Lazi Cow,"407 G St Ste 4, Davis, CA, 95616",1 5307462088,"Dessert, Asian, Bubble Tea, Ice Cream, Ramen"
Mountain Mike's Pizza,"1411 W Covell Blvd, Davis, CA, 95616",1 5305647000,"Pizza, American, Salads, Sandwiches, Wings"
Bueno Cafe,"400 T St, Sacramento, CA, 95818",1 9169978863,Cafe
Everest Curry,"1728 Broadway, Sacramento, CA, 95818",1 9164412172,"Indian, Chicken, Curry, Dessert, Gluten-Free, Lunch Specials, Nepalese, Salads, Seafood, Soup, Vegan, Vegetables, Vegetarian"
Jack in the Box,"337 G St, Davis, CA, 95616",1 5302970400,"Hamburgers, Sandwiches"
Boba Pho U,"3071 Freeport Blvd, Sacramento, CA, 95818",1 9163890088,"Dessert, Noodles, Sandwiches"
Tasty Dumpling,"3700 Crocker Dr, Sacramento, CA, 95818",1 9167585621,"Chinese, Asian, Chicken, Noodles, Soup, Vegetarian"
Wendy's,"2630 Arena Blvd, Sacramento, CA, 95834",1 9168009662,"Fast Food, American, Breakfast, Hamburgers"
Oscar's Very Mexican Food,"1350 Harbor Blvd b, West Sacramento, CA, 95691",1 9163748195,"Mexican, Breakfast, Burritos, Tacos"
Calzone Life,"2820 Del Paso Rd., suite 100, Sacramento, CA, 95834",1 9164196666,"Pizza, Calzones, Dessert, Salads"
Beach Hut Deli,"4515 Fermi Pl, Davis, CA, 95618",1 5307561601,"Sandwich, American, Californian, Sandwiches"
The Habibi's Grill,"2400 15th St, Sacramento, CA, 95818",1 9168335922,"Mediterranean, Falafel, Food Truck, Greek, Gyro, Middle Eastern, Wings"
Ace's Gyro Shack ,"1603 10th St, Sacramento, CA, 95814",1 9163464246,"Mediterranean, Gyro, Wraps"
Jamie's Broadway Grille,"427 Broadway, Sacramento, CA, 95818",1 9164424044,"American, Bar Food, Fast Food, Grill"
Dos Coyotes Border Cafe ,"2701 DEL PASO ROAD #160, Sacramento, CA, 95835",1 9166928467,"Burritos, Gluten-Free, Latin American, Tacos, Vegetarian"
Co Do 2,"4251 Truxel Rd, Sacramento, CA, 95834",1 9169288088,"Asian, Asian Fusion, Chinese, Pho, Sandwiches, Soup, Vegan, Vegetarian, Vietnamese"
Popeyes,"1500 W El Camino Ave, Sacramento, CA, 95833",1 9163333693,"Fast Food, American, Cajun, Chicken, Dessert, Sandwiches, Southern"
I Heart Mac & Cheese,"1631 K St, Sacramento, CA, 95814",1 9168224946,"American, Bowls, Lunch Specials, Pasta, Sandwiches, Seafood, Soup, Vegan"
I Love Teriyaki Midtown,"1410 21st St, Sacramento, CA, 95811",1 9164461313,"Japanese, Asian, Asian Fusion, BBQ, Bowls, Chicken, Chinese, Lunch Specials, Noodles, Salads, Soup, Sushi, Thai, Vegetarian, Vietnamese"
Burger Lounge,"405 K St, Sacramento, CA, 95814",1 9167019455,"Hamburger, Chicken, Gluten-Free, Hamburgers, Kids Menu, Salads, Sandwiches, Vegan"
Calzone Life,"800 Harbor Blvd, West Sacramento, CA, 95691",1 9163722222,"Pizza, Calzones, Dessert, Salads"
Plant Power Fast Food - Sacramento,"1100 R Street, Sacramento, CA, 95811",1 9167945027,"Fast Food, Hamburgers, Salads"
India Gate Cuisine,"1905 Capitol Ave, Sacramento, CA, 95811",1 9165733052,"Indian, Dessert, Seafood"
Mas Taco Bar,"1800 15th St, Sacramento, CA, 95811",1 9167061330,"American, Bowls, Brunch, Burritos, Dessert, Latin American, Tacos"
Carl's Jr.,"1701 Cowell Blvd, Davis, CA, 95618",1 5307561626,"Fast Food, American, Chicken, Hamburgers, Hot Dogs, Sandwiches"
Tea Cup Cafe,"1614 21st St, Sacramento, CA, 95811",1 9164486212,"Chinese, Asian, Bowls, Chicken, Healthy, Korean, Lunch Specials, Noodles, Salads, Seafood, Soup"
The Meltdown,"4441 E Commerce Way, Sacramento, CA, 95834",1 9164194800,Sandwiches
Cornerstone Cafe & Bar,"1617 Sacramento Ave, West Sacramento, CA, 95605",1 9165720923,"American, Breakfast, Diner, Salads, Sandwiches"
Burger King,"2026 Lyndell Terrace, Davis, CA, 95616",1 9168413161,"Fast Food, American, Dessert, Hamburgers, Sandwiches"
Pho Viet 2,"1589 W El Camino Ave, Sacramento, CA, 95833",1 9169252138,"Noodles, Sandwiches, Smoothies and Juices, Soup"
Dad's Sandwich Shop,"1310 S St, Sacramento, CA, 95811",1 9164483237,"American, Deli, Salads, Sandwiches"
MOD Pizza (West Sacramento),"771 Ikea Ct, West Sacramento, CA, 95605",1 9165720356,"Pizza, American, Fast Food, Healthy, Salads, Vegan, Vegetarian"
lucky jade chinese restaurant,"7007 S Land Park Dr, Sacramento, CA, 95831",1 9163929630,"Chicken, Noodles, Seafood, Soup"
Asian N Cajun,"4271 Truxel Rd, Sacramento, CA, 95834",1 9165149028,"Cajun, Seafood"
Cafeteria15L,"1116 15th St, Sacramento, CA, 95814",1 9164921960,"American, Breakfast"
Chitas Taqueria,"2019 Q St, Sacramento, CA, 95811",1 9169300951,"Mexican, Breakfast"
Cajun Feast,"206 3rd St, Davis, CA, 95616",1 5302315366,"Dessert, Noodles, Seafood, Soup"
Linda Taqueria Mexican Food,"1151 Richards Blvd, Sacramento, CA, 95811",1 9164471707,"Mexican, Lunch Specials"
Pete's 7,"828 J St, Sacramento, CA, 95814",1 9163065800,"Hamburgers, Salads, Sandwiches, Soup, Wings"
Cenarios Pizza of Dixon,"1160 Pitt School Rd, Dixon, CA, 95620",1 7076931100,"Pizza, American, Fast Food"
Pizza Guys,"1620 W El Camino Ave, Sacramento, CA, 95833",1 9169254444,"Pizza, American, Salads"
Quickly (Truxel Rd Ste 6A),"3291 Truxel Rd Ste 6A, Sacramento, CA, 95833",1 9165159149,"Bowls, Fast Food, Ramen"
Cilantro's Méxican Restaurant & Bar,"705 J St, Sacramento, CA, 95814",1 9164414300,"Mexican, Soul Food, Tacos"
Delish Pizza,"2121 Natomas Crossing Drive Ste. 600, Sacramento, CA, 95834",1 9165168888,"Pizza, Calzones, Pasta, Salads, Wings"
Pardon My Cheesesteak,"1745 Cowell Blvd, Davis, CA, 95618",1 8335293287,"American, Cheesesteaks, Chicken, Dessert"
Petra Greek Midtown,"1122 16th St, Sacramento, CA, 95814",1 9164431993,"Chicken, Dessert, Gyro, Hamburgers, Salads, Sandwiches, Soup"
Burger Patch,"2301 K St, Sacramento, CA, 95816",1 9167504200,"Hamburger, Hamburgers, Shakes, Vegan, Vegetarian"
Pizza Twist,"3511 Del Paso Rd, Sacramento, CA, 95835",1 9166202224,"Pizza, Italian"
Marco's Pizza,"2230 Lake Washington Blvd, West Sacramento, CA, 95691",1 9165161660,"Pizza, Calzones, Subs, Wings"
T & Z Chinese Restaurant,"2550 W El Camino Ave, Sacramento, CA, 95833",1 9166491514,"Chinese, Lunch Specials, Seafood, Soup, Vegetarian"
Safeway,"2121 Cowell Blvd, Davis, CA, 95618",1 8772769637,"Candy, Snacks"
Quickly Sacramento,"2100 16th St., Sacramento, CA, 95818",1 9164468866,American
Del Taco,"841 Harbor Blvd, West Sacramento, CA, 95691",1 9163713284,"Mexican, Breakfast, Burritos, Fast Food, Hamburgers, Tacos"
Il Fornaio- Sacramento,"400 Capitol Mall, Sacramento, CA, 95814",1 9164464100,"Italian, Pasta, Pizza"
Nation's Giant Hamburgers,"3530 Truxel Rd, Sacramento, CA, 95834",1 9165757622,"American, Breakfast, Hamburgers, Snacks"
Ju Hachi,"1730 S St,, Sacramento, CA, 95811",1 9164483481,"Japanese, Asian, Lunch Specials, Noodles, Ramen, Sushi"
Buddha Belly Burgers,"1901 S St, Sacramento, CA, 95811",1 9165947646,"Fast Food, Hamburgers"
SUBWAY®,"1300 E Covell Blvd  Ste C, Davis, CA, 95616",1 5307564530,"Sandwich, Sandwiches, Subs, Wraps"
Wienerschnitzel,"2961 Advantage Way, Sacramento, CA, 95834",1 9164194545,"American, Breakfast, Classic, Fast Food, Hamburgers, Hot Dogs, Sandwiches"
Cheesesteaks,"3571 Truxel Rd, Sacramento, CA, 95834",1 9166925227,"American, Chicken, Steak"
